English General,Verse Translation
English Subtitle,Heading 2 Translation
English Subtitle Centered,Heading 2 Translation
ENGLISH TITLE,Heading 1 Translation
English YikChung,Yigchung Translation
English YikChung Verse,Yigchung Verse Translation
Header, Heading 1 Translation
Heading 1, Heading 1 Translation
Heading 2, Heading 2 Translation
Heading 3, Heading 3 Translation
Heading Tibetan, Heading 1 Tibetan
MANTRA PHONETICS, Mantra Phonetics
ཊཻ་ཊལ་ཡ་ནི་ཀོ་དེ། ཆེན་པོ།,Heading 1 Tibetan
ཊཻ་ཊལ་ཡུ་ནི་ཀོ་དེ།,Heading 1 Tibetan
ཊཻ་ཊལ་ཡུ་ནི་ཀོ་དེ། སྟོང་ཆ་ཆུང་བ།,Heading 1 Tibetan
མནྟྲ་ཡུ་ནི་ཀོ་དེ།,Mantra Tibetan
ཡིག་ཆུང་ཡུ་ནི་ཀོ་དེ།,Yigchung Tibetan
བོད་ཡིག་ཡུ་ནི་ཀོ་དེ།,Verse Tibetan
ཡིག་ཆེན་ཡུ་ནི་ཀོ་དེ།,Verse Tibetan
ཡིག་ཆེན་ཡུ་ནི་ཀོ་དེ། སྟོང་ཆ་ཆེ་བ།,Verse Tibetan
SKT in TIB PHONETICS,Sanskrit at the beginning
TIB - SMALL override,Yigchung Tibetan Characters
YigChungUNI char,Yigchung Tibetan Characters
ཡིག་ཆུང་ char,Yigchung Tibetan Characters
YikChenUNI Char,Yigchen Tibetan Characters
